"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Sam LaPorta",DET,"196.3","120","86","889","10","1","4","0"
"2",1,"Travis Kelce",KC,"172.9","121","93","984","5","0","0","0"
"3",1,"Trey McBride",ARI,"141","106","81","825","3","0","0","0"
"4",1,"Mark Andrews",BAL,"112.9","61","45","544","6","1","0","0"
"5",2,"Dalton Kincaid",BUF,"113.8","91","73","673","2","0","0","0"
"6",2,"Kyle Pitts",ATL,"110.8","90","53","667","3","1","-4","0"
"7",2,"George Kittle",SF,"170.7","90","65","1020","6","1","2","0"
"8",2,"Evan Engram",JAC,"173.3","143","114","963","4","0","0","0"
"9",2,"Jake Ferguson",DAL,"141.6","102","71","761","5","0","0","0"
"10",3,"David Njoku",CLE,"160.7","123","81","882","6","0","0","0"
"11",3,"Brock Bowers",LV,"0","0","0","0","0","0","0","0"
"12",3,"Dallas Goedert",PHI,"106.8","83","59","592","3","1","1","0"
"13",3,"Pat Freiermuth",PIT,"60.8","47","32","308","2","0","0","0"
"14",3,"Dalton Schultz",HOU,"121","88","59","635","5","0","0","0"
"15",3,"T.J. Hockenson",MIN,"171.5","127","95","960","5","0","0","0"
"16",4,"Luke Musgrave",GB,"58.2","46","34","352","1","0","0","0"
"17",4,"Hunter Henry",NE,"98.9","61","42","419","6","0","0","0"
"18",4,"Cole Kmet",CHI,"144.6","90","73","719","6","3","2","0"
"19",4,"Tyler Conklin",NYJ,"92.6","87","61","621","0","1","0","0"
"20",4,"Taysom Hill",NO,"127","40","33","291","2","81","401","4"
"21",4,"Cade Otton",TB,"93","67","47","455","4","0","0","0"
"22",4,"Noah Fant",SEA,"57.4","43","32","414","0","0","0","0"
"23",4,"Isaiah Likely",BAL,"86.1","40","30","411","5","0","0","0"
"24",4,"Juwan Johnson",NO,"79.3","59","37","368","4","0","0","0"
"25",4,"Chigoziem Okonkwo",TEN,"86.4","77","54","528","1","2","6","0"
"26",4,"Tucker Kraft",GB,"63","40","31","355","2","0","0","0"
"27",4,"Mike Gesicki",CIN,"50.9","45","29","244","2","0","0","0"
"28",4,"Ben Sinnott",WAS,"0","0","0","0","0","0","0","0"
"29",4,"Michael Mayer",LV,"57.9","40","27","304","2","0","0","0"
"30",5,"Ja'Tavion Sanders",CAR,"0","0","0","0","0","0","0","0"
"31",5,"Jonnu Smith",MIA,"99.2","70","50","582","3","1","0","0"
"32",5,"Zach Ertz",WAS,"38.2","43","27","187","1","0","0","0"
"33",5,"Dawson Knox",BUF,"43.6","36","22","186","2","0","0","0"
"34",5,"Gerald Everett",CHI,"85.6","70","51","411","3","3","10","0"
"35",5,"Greg Dulcich",DEN,"4","4","3","25","0","0","0","0"
"36",5,"Colby Parkinson",LAR,"49.2","34","25","247","2","0","0","0"
"37",5,"Theo Johnson",NYG,"0","0","0","0","0","0","0","0"
"38",5,"Tyler Higbee",LAR,"85","70","47","495","2","0","0","0"
"39",6,"Hayden Hurst",LAC,"33.4","32","18","184","1","0","0","0"
"40",6,"Daniel Bellinger",NYG,"38","28","25","255","0","0","0","0"
"41",6,"Kylen Granson",IND,"58","50","30","368","1","1","2","0"
"42",6,"Will Dissly",LAC,"31.7","22","17","172","1","0","0","0"
"43",6,"Erick All Jr.",CIN,"0","0","0","0","0","0","0","0"
"44",6,"Noah Gray",KC,"56.6","41","28","305","2","1","1","0"
"45",6,"Tanner Hudson",CIN,"60.7","50","39","352","1","0","0","0"
"46",6,"Cade Stover",HOU,"0","0","0","0","0","0","0","0"
"47",6,"Josh Oliver",MIN,"42.3","28","22","213","2","0","0","0"
"48",6,"Brevin Jordan",HOU,"42.4","21","17","219","2","0","0","0"
"49",6,"Johnny Mundt",MIN,"31.7","23","17","172","1","0","0","0"
"50",7,"Jeremy Ruckert",NYJ,"23.1","22","16","151","0","0","0","0"
"51",7,"Tommy Tremble",CAR,"48.9","32","23","194","3","0","0","0"
"52",7,"Davis Allen",LAR,"20.5","11","10","95","1","0","0","0"
"53",7,"Jaheim Bell",NE,"0","0","0","0","0","0","0","0"
"54",7,"Darnell Washington",PIT,"9.6","10","7","61","0","0","0","0"
"55",7,"Donald Parham Jr.",DEN,"66","41","27","285","4","0","0","0"
"56",7,"Adam Trautman",DEN,"49.4","35","22","204","3","0","0","0"
"57",7,"Austin Hooper",NE,"35.9","31","25","234","0","0","0","0"
"58",7,"Mo Alie-Cox",IND,"42.6","22","13","161","3","0","0","0"
"59",7,"Josh Whyle",TEN,"19.9","15","9","94","1","0","0","0"
"60",7,"Luke Schoonmaker",DAL,"22.5","15","8","65","2","0","0","0"
"61",7,"Will Mallory",IND,"29.7","26","18","207","0","0","0","0"
"62",7,"Foster Moreau",NO,"35.8","25","21","193","1","0","0","0"
"63",7,"Jared Wiley",KC,"0","0","0","0","0","0","0","0"
