"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"CeeDee Lamb",DAL,"335.7","181","135","1749","12","14","113","2"
"2",1,"Tyreek Hill",MIA,"316.9","171","119","1799","13","6","15","0"
"3",1,"Ja'Marr Chase",CIN,"212.7","145","100","1216","7","3","-6","0"
"4",1,"Amon-Ra St. Brown",DET,"271.4","164","119","1515","10","4","24","0"
"5",1,"Justin Jefferson",MIN,"168.2","100","68","1074","5","1","-12","0"
"6",2,"A.J. Brown",PHI,"236.6","158","106","1456","7","0","0","0"
"7",2,"Garrett Wilson",NYJ,"165.7","168","95","1042","3","4","0","0"
"8",2,"Puka Nacua",LAR,"246","160","105","1486","6","12","89","0"
"9",3,"Marvin Harrison Jr.",ARI,"0","0","0","0","0","0","0","0"
"10",3,"Drake London",ATL,"139.9","110","69","905","2","0","0","0"
"11",3,"Davante Adams",LV,"213.9","175","103","1144","8","0","0","0"
"12",3,"Chris Olave",NO,"187.8","138","87","1123","5","0","0","0"
"13",3,"Mike Evans",TB,"243","136","79","1255","13","0","0","0"
"14",3,"Deebo Samuel Sr.",SF,"213.7","89","60","892","7","37","225","5"
"15",3,"Nico Collins",HOU,"220.4","109","80","1297","8","1","7","0"
"16",3,"Jaylen Waddle",MIA,"162.6","104","72","1014","4","3","12","0"
"17",3,"Brandon Aiyuk",SF,"211.7","105","75","1342","7","0","0","0"
"18",3,"Cooper Kupp",LAR,"134.9","95","59","737","5","1","-3","0"
"19",4,"DK Metcalf",SEA,"192.4","119","66","1114","8","0","0","0"
"20",4,"DJ Moore",CHI,"238.5","136","96","1364","8","4","21","1"
"21",4,"DeVonta Smith",PHI,"187.1","112","81","1066","7","0","0","0"
"22",4,"Michael Pittman Jr.",IND,"195.7","156","109","1152","4","0","0","0"
"23",4,"Malik Nabers",NYG,"0","0","0","0","0","0","0","0"
"24",4,"Amari Cooper",CLE,"191","128","72","1250","5","0","0","0"
"25",4,"Rashee Rice",KC,"173","102","79","938","7","1","-3","0"
"26",4,"Tee Higgins",CIN,"116.6","76","42","656","5","0","0","0"
"27",4,"Stefon Diggs",HOU,"220.3","160","107","1183","8","1","5","0"
"28",4,"George Pickens",PIT,"177.3","106","63","1140","5","3","18","0"
"29",5,"Terry McLaurin",WAS,"163.7","132","79","1002","4","0","0","0"
"30",5,"Zay Flowers",BAL,"167.9","108","77","858","5","8","56","1"
"31",5,"Tank Dell",HOU,"141.5","75","47","709","7","11","51","0"
"32",5,"Christian Kirk",JAC,"121.8","85","57","787","3","1","6","0"
