"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Christian McCaffrey",SF,"357.8","0","0","67","564","7","272","1459","14"
"2",1,"CeeDee Lamb",DAL,"335.7","0","0","135","1749","12","14","113","2"
"3",1,"Tyreek Hill",MIA,"316.9","0","0","119","1799","13","6","15","0"
"4",1,"Breece Hall",NYJ,"252.5","0","0","76","591","4","223","994","5"
"5",1,"Bijan Robinson",ATL,"217.3","0","0","58","487","4","214","976","4"
"6",1,"Ja'Marr Chase",CIN,"212.7","0","0","100","1216","7","3","-6","0"
"7",1,"Amon-Ra St. Brown",DET,"271.4","0","0","119","1515","10","4","24","0"
"8",1,"Justin Jefferson",MIN,"168.2","0","0","68","1074","5","1","-12","0"
"9",2,"A.J. Brown",PHI,"236.6","0","0","106","1456","7","0","0","0"
"10",2,"Garrett Wilson",NYJ,"165.7","0","0","95","1042","3","4","0","0"
"11",2,"Jonathan Taylor",IND,"146.9","0","0","19","153","1","169","741","7"
"12",2,"Jahmyr Gibbs",DET,"216.1","0","0","52","316","1","182","945","10"
"13",2,"Saquon Barkley",PHI,"202.7","0","0","41","280","4","247","962","6"
"14",2,"Puka Nacua",LAR,"246","0","0","105","1486","6","12","89","0"
"15",3,"Marvin Harrison Jr.",ARI,"0","0","0","0","0","0","0","0","0"
"16",3,"Drake London",ATL,"139.9","0","0","69","905","2","0","0","0"
"17",3,"Derrick Henry",BAL,"232.7","0","0","28","214","0","280","1167","12"
"18",3,"Travis Etienne Jr.",JAC,"253.4","0","0","58","476","1","267","1008","11"
"19",3,"Davante Adams",LV,"213.9","0","0","103","1144","8","0","0","0"
"20",3,"Chris Olave",NO,"187.8","0","0","87","1123","5","0","0","0"
"21",3,"Mike Evans",TB,"243","0","0","79","1255","13","0","0","0"
"22",3,"Deebo Samuel Sr.",SF,"213.7","0","0","60","892","7","37","225","5"
"23",3,"Kyren Williams",LAR,"239","0","0","32","206","3","228","1144","12"
"24",3,"Nico Collins",HOU,"220.4","0","0","80","1297","8","1","7","0"
"25",3,"Josh Allen",BUF,"410.6","4306","29","0","0","0","111","524","15"
"26",3,"Isiah Pacheco",KC,"191.9","0","0","44","244","2","205","935","7"
"27",3,"Jaylen Waddle",MIA,"162.6","0","0","72","1014","4","3","12","0"
"28",3,"Brandon Aiyuk",SF,"211.7","0","0","75","1342","7","0","0","0"
"29",3,"De'Von Achane",MIA,"177.2","0","0","27","197","3","103","800","8"
"30",3,"Cooper Kupp",LAR,"134.9","0","0","59","737","5","1","-3","0"
"31",3,"Jalen Hurts",PHI,"371.8","3858","23","0","0","0","157","605","15"
"32",4,"Sam LaPorta",DET,"196.3","0","0","86","889","10","1","4","0"
"33",4,"DK Metcalf",SEA,"192.4","0","0","66","1114","8","0","0","0"
"34",4,"Travis Kelce",KC,"172.9","0","0","93","984","5","0","0","0"
"35",4,"Josh Jacobs",GB,"162.6","0","0","37","296","0","233","805","6"
"36",4,"Patrick Mahomes II",KC,"294.2","4183","27","0","0","0","75","389","0"
"37",4,"DJ Moore",CHI,"238.5","0","0","96","1364","8","4","21","1"
"38",4,"Lamar Jackson",BAL,"338.2","3678","24","0","0","0","148","821","5"
"39",4,"DeVonta Smith",PHI,"187.1","0","0","81","1066","7","0","0","0"
"40",4,"Michael Pittman Jr.",IND,"195.7","0","0","109","1152","4","0","0","0"
"41",4,"Malik Nabers",NYG,"0","0","0","0","0","0","0","0","0"
"42",4,"Amari Cooper",CLE,"191","0","0","72","1250","5","0","0","0"
"43",4,"Kenneth Walker III",SEA,"184.9","0","0","29","259","1","219","905","8"
"44",4,"James Cook",BUF,"210.7","0","0","44","445","4","237","1122","2"
"45",4,"Joe Mixon",HOU,"241","0","0","52","376","3","257","1034","9"
"46",4,"Rachaad White",TB,"235.9","0","0","64","549","3","272","990","6"
"47",5,"Tee Higgins",CIN,"116.6","0","0","42","656","5","0","0","0"
"48",5,"Mark Andrews",BAL,"112.9","0","0","45","544","6","1","0","0"
"49",5,"Rashee Rice",KC,"173","0","0","79","938","7","1","-3","0"
"50",5,"Trey McBride",ARI,"141","0","0","81","825","3","0","0","0"
"51",5,"Alvin Kamara",NO,"195.5","0","0","75","466","1","180","694","5"
"52",5,"Stefon Diggs",HOU,"220.3","0","0","107","1183","8","1","5","0"
"53",5,"George Pickens",PIT,"177.3","0","0","63","1140","5","3","18","0"
"54",5,"Anthony Richardson",IND,"73.7","577","3","0","0","0","25","136","4"
"55",5,"Terry McLaurin",WAS,"163.7","0","0","79","1002","4","0","0","0"
"56",5,"Zay Flowers",BAL,"167.9","0","0","77","858","5","8","56","1"
"57",5,"C.J. Stroud",HOU,"280.5","4108","23","0","0","0","39","167","3"
"58",5,"Kyler Murray",ARI,"151.4","1799","10","0","0","0","44","244","3"
"59",5,"Tank Dell",HOU,"141.5","0","0","47","709","7","11","51","0"
"60",5,"James Conner",ARI,"188","0","0","27","165","2","208","1040","7"
"61",5,"David Montgomery",DET,"199.2","0","0","16","117","0","219","1015","13"
"62",5,"Christian Kirk",JAC,"121.8","0","0","57","787","3","1","6","0"
"63",5,"Dalton Kincaid",BUF,"113.8","0","0","73","673","2","0","0","0"
"64",5,"Aaron Jones",MIN,"119.9","0","0","30","233","1","142","656","2"
"65",5,"Rhamondre Stevenson",NE,"126.7","0","0","38","238","0","156","619","4"
"66",5,"Joe Burrow",CIN,"153.2","2309","15","0","0","0","31","88","0"
"67",5,"Chris Godwin",TB,"167.7","0","0","83","1024","2","4","38","1"
"68",5,"Dak Prescott",DAL,"351.8","4516","36","0","0","0","55","242","2"
"69",6,"Calvin Ridley",TEN,"191.9","0","0","76","1016","8","9","23","0"
"70",6,"Najee Harris",PIT,"181","0","0","29","170","0","255","1035","8"
"71",6,"Diontae Johnson",CAR,"127.2","0","0","51","717","5","0","0","0"
"72",6,"Raheem Mostert",MIA,"255.2","0","0","25","175","3","209","1012","18"
"73",6,"D'Andre Swift",CHI,"179.8","0","0","39","214","1","229","1049","5"
"74",6,"Kyle Pitts",ATL,"110.8","0","0","53","667","3","1","-4","0"
"75",6,"Jordan Love",GB,"330.1","4159","32","0","0","0","50","247","4"
"76",6,"Javonte Williams",DEN,"155.7","0","0","47","228","2","217","774","3"
"77",6,"Keenan Allen",CHI,"224.9","0","0","108","1243","7","2","6","0"
"78",6,"George Kittle",SF,"170.7","0","0","65","1020","6","1","2","0"
"79",6,"Zamir White",LV,"66.4","0","0","15","98","0","104","451","1"
"80",6,"Tony Pollard",TEN,"195.1","0","0","55","311","0","252","1005","6"
"81",6,"Jayden Reed",GB,"185.2","0","0","64","793","8","11","119","2"
"82",6,"Jayden Daniels",WAS,"0","0","0","0","0","0","0","0","0"
"83",6,"Evan Engram",JAC,"173.3","0","0","114","963","4","0","0","0"
"84",6,"Brian Robinson Jr.",WAS,"180.1","0","0","36","368","4","178","733","5"
"85",6,"Jaxon Smith-Njigba",SEA,"118.3","0","0","63","628","4","0","0","0"
"86",6,"Devin Singletary",NYG,"152.3","0","0","30","193","0","216","898","4"
"87",6,"Brock Purdy",SF,"306.6","4280","31","0","0","0","39","144","2"
"88",6,"DeAndre Hopkins",TEN,"186.1","0","0","75","1057","7","2","9","0"
"89",6,"Jaylen Warren",PIT,"165.9","0","0","61","370","0","149","784","4"
"90",6,"Xavier Worthy",KC,"0","0","0","0","0","0","0","0","0"
"91",6,"Jake Ferguson",DAL,"141.6","0","0","71","761","5","0","0","0"
"92",6,"Christian Watson",GB,"87.3","0","0","28","422","5","4","11","0"
"93",6,"Rome Odunze",CHI,"0","0","0","0","0","0","0","0","0"
"94",6,"Caleb Williams",CHI,"0","0","0","0","0","0","0","0","0"
"95",6,"David Njoku",CLE,"160.7","0","0","81","882","6","0","0","0"
"96",7,"Tyjae Spears",TEN,"127.8","0","0","52","385","1","100","453","2"
"97",7,"Courtland Sutton",DEN,"160.7","0","0","59","772","10","0","0","0"
"98",7,"Tua Tagovailoa",MIA,"284.4","4624","29","0","0","0","35","74","0"
