Team,QB,RB,WR,TE,OL,DI,ED,LB,CB,S,Off Grade,Off Rank,Def Grade,Def Rank,Total Grade,Total Rank
Los Angeles Rams,9,6,7,4,7,6,7,5,8,6,7.1,1,3.9,1,3.2,1
Baltimore Ravens,8,7,5,5,6,7,5,5,5,9,6.4,2,3.4,5,3.0,4
Philadelphia Eagles,6,8,6,6,7,7,6,7,7,3,6.2,3,3.3,9,3.0,5
New England Patriots,7,5,6,6,6,6,5,6,7,7,6.1,4,3.2,10,2.9,7
Detroit Lions,6,7,7,7,6,5,6,8,5,7,6.1,5,3.3,8,2.8,8
Buffalo Bills,9,7,5,6,7,5,6,3,5,5,6.1,6,3.7,2,2.4,27
Seattle Seahawks,6,5,7,5,6,7,5,5,7,6,6.0,7,3.1,13,2.9,6
San Francisco 49ers,7,7,6,7,7,4,6,7,5,4,6.0,8,3.4,4,2.5,19
Denver Broncos,6,5,6,4,8,6,5,5,6,6,5.9,9,3.2,11,2.8,9
Dallas Cowboys,7,6,7,5,6,6,5,4,5,6,5.9,10,3.4,6,2.6,15
Kansas City Chiefs,7,7,6,6,6,5,5,7,5,6,5.9,11,3.3,7,2.6,13
Cincinnati Bengals,8,6,8,3,5,6,5,4,5,5,5.9,12,3.4,3,2.4,25
Green Bay Packers,7,6,5,6,6,5,5,5,5,7,5.7,13,3.1,12,2.6,14
Houston Texans,5,5,6,5,5,5,7,6,8,5,5.7,14,2.6,24,3.1,2
Los Angeles Chargers,7,6,5,5,6,5,6,4,4,7,5.7,15,3.1,14,2.6,16
Tampa Bay Buccaneers,6,5,6,4,7,6,5,5,5,6,5.6,16,3.0,16,2.6,12
Chicago Bears,6,5,5,6,7,4,5,7,6,5,5.6,17,3.1,15,2.5,20
Pittsburgh Steelers,4,5,6,5,5,7,8,4,7,5,5.6,18,2.5,27,3.1,3
Jacksonville Jaguars,6,4,6,6,6,4,6,6,5,5,5.4,19,2.9,18,2.5,22
New York Jets,4,6,6,5,6,6,4,8,5,6,5.4,20,2.6,23,2.7,10
Indianapolis Colts,5,8,6,7,6,5,5,3,6,5,5.3,21,2.9,19,2.5,24
Minnesota Vikings,4,4,7,6,6,6,5,6,5,4,5.3,22,2.8,20,2.5,21
New York Giants,5,5,6,5,6,4,8,5,4,5,5.3,23,2.8,21,2.5,18
Washington Commanders,7,4,6,4,5,5,4,5,5,4,5.2,24,3.0,17,2.3,30
New Orleans Saints,4,6,6,5,6,4,6,5,5,6,5.1,25,2.6,25,2.5,17
Atlanta Falcons,4,7,6,6,6,5,4,5,5,7,5.1,26,2.6,22,2.4,26
Cleveland Browns,3,5,5,6,5,5,6,7,4,6,4.9,27,2.2,31,2.7,11
Carolina Panthers,4,4,6,5,6,6,4,5,5,5,4.9,28,2.4,30,2.5,23
Las Vegas Raiders,4,7,4,7,6,4,6,5,5,5,4.9,29,2.5,28,2.4,28
Tennessee Titans,4,4,6,5,5,5,5,5,5,4,4.9,30,2.5,29,2.4,29
Arizona Cardinals,3,7,6,8,6,5,4,4,4,5,4.6,31,2.5,26,2.1,31
Miami Dolphins,4,7,3,4,5,5,3,7,3,2,4.1,32,2.2,32,1.9,32
