"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1",1,"Brandon Aubrey",DAL,"11.0","0.0","0.6","0.3","0.6","0.6","2.8","2.8"
"2",1,"Cameron Dicker",LAC,"10.0","0.0","0.4","0.8","0.7","0.3","2.0","2.1"
"3",1,"Ka'imi Fairbairn",HOU,"12.9","0.0","0.5","0.7","1.1","0.6","1.9","1.9"
"4",1,"Cam Little",JAC,"9.6","0.0","0.3","0.5","0.5","0.5","2.9","3.0"
"5",2,"Jason Myers",SEA,"11.9","0.0","0.3","0.8","0.8","0.5","2.8","2.8"
"6",2,"Eddy Pineiro",SF,"10.0","0.0","0.4","0.5","0.7","0.4","2.4","2.7"
"7",2,"Tyler Loop",BAL,"8.5","0.0","0.6","0.6","0.5","0.1","2.6","2.7"
"8",3,"Jake Bates",DET,"8.9","0.0","0.4","0.5","0.5","0.2","3.2","3.3"
"9",3,"Evan McPherson",CIN,"8.0","0.0","0.2","0.4","0.6","0.3","2.4","2.6"
"10",3,"Cairo Santos",CHI,"8.8","0.0","0.2","0.5","0.7","0.3","2.6","2.6"
"11",3,"Chase McLaughlin",TB,"9.2","0.0","0.4","0.5","0.4","0.6","1.9","1.9"
"12",3,"Andy Borregales",NE,"8.8","0.1","0.4","0.5","0.4","0.2","3.1","3.2"
"13",3,"Harrison Mevis",LAR,"9.1","0.0","0.3","0.3","0.6","0.1","4.3","4.3"
"14",3,"Chris Boswell",PIT,"8.9","0.0","0.4","0.1","0.6","0.5","2.5","2.5"
"15",3,"Will Reichard",MIN,"9.4","0.0","0.4","0.5","0.4","0.6","1.8","1.8"
"16",3,"Harrison Butker",KC,"8.8","0.1","0.5","0.5","0.5","0.3","1.8","2.1"
"17",4,"Wil Lutz",DEN,"7.9","0.0","0.6","0.6","0.2","0.2","2.3","2.3"
"18",4,"Jake Elliott",PHI,"6.8","0.0","0.2","0.4","0.4","0.2","2.4","2.5"
"19",4,"Charlie Smyth",NO,"10.0","0.0","0.2","0.7","0.5","0.7","2.2","2.2"
"20",4,"Tyler Bass",BUF,"0","0","0","0","0","0","0","0"
"21",4,"Blake Grupe",IND,"8.1","0.0","0.6","0.6","0.2","0.4","1.6","1.6"
"22",4,"Joey Slye",TEN,"8.4","0.0","0.4","0.4","0.4","0.6","1.6","1.7"
"23",4,"Chad Ryland",ARI,"7.6","0.0","0.3","0.4","0.4","0.4","2.1","2.1"
"24",4,"Nick Folk",ATL,"7.9","0.0","0.3","0.6","0.4","0.4","1.4","1.4"
"25",4,"Ryan Fitzgerald",CAR,"6.5","0.0","0.4","0.5","0.5","0.1","1.6","1.8"
"26",4,"Trey Smack",GB,"0","0","0","0","0","0","0","0"
"",4
"27",5,"Daniel Carlson",NO,"6.1","0.0","0.3","0.4","0.4","0.3","1.2","1.3"
"28",5,"Zane Gonzalez",FA,"10.7","0.0","0.1","0.3","0.9","0.8","1.9","2.0"
"29",5,"Ben Sauls",NYG,"10.7","0.0","1.0","1.3","0.3","0.0","2.3","2.3"
"30",5,"Jason Sanders",NYJ,"0","0","0","0","0","0","0","0"
"31",5,"Andre Szmyt",CLE,"6.6","0.0","0.2","0.6","0.3","0.3","1.5","1.5"
"32",6,"Jake Moody",FA,"9.0","0.0","0.6","0.8","0.6","0.2","1.7","1.8"
"33",6,"Brandon McManus",FA,"8.1","0.0","0.7","0.6","0.2","0.2","2.3","2.4"
"34",6,"Drew Stevens",WAS,"0","0","0","0","0","0","0","0"
"35",6,"Matt Gay",LV,"7.6","0.0","0.3","0.3","0.5","0.3","2.2","2.2"
"36",6,"Spencer Shrader",IND,"11.4","0.0","1.0","1.0","0.4","0.2","2.8","2.8"
"37",6,"Riley Patterson",MIA,"7.8","0.0","0.3","0.5","0.6","0.2","2.0","2.1"
"38",6,"Cade York",FA,"0","0","0","0","0","0","0","0"
"39",6,"Dominic Zvada",NYG,"0","0","0","0","0","0","0","0"
"40",6,"Kansei Matsuzawa",LV,"0","0","0","0","0","0","0","0"
"41",6,"Tanner Brown",NO,"0","0","0","0","0","0","0","0"
"42",6,"Andrew Wellock",CAR,"0","0","0","0","0","0","0","0"
"43",6,"B.T. Potter",TB,"0","0","0","0","0","0","0","0"
"44",6,"Laith Marjan",FA,"0","0","0","0","0","0","0","0"
