K,Overall,Player (Bye),ESPN,Yahoo,CBS,Fantrax,Sleeper,RTSports,AVG,Real-Time
1,129,Brandon Aubrey   DAL (14),1,1,1,1,1,1,1.0,1
2,162,Cameron Dicker   LAC (7),2,3,4,5,2,2,3.0,3  -1
3,167,Jason Myers   SEA (11),3,4,2,3,3,5,3.3,4  -1
4,175,Ka'imi Fairbairn   HOU (8),5,2,3,2,9,3,4.0,2  +2
5,172,Cam Little   JAC (7),6,7,5,4,6,4,5.3,5
6,186,Harrison Mevis   LAR (11),4,10,9,8,7,8,7.7,6
7,202,Jake Bates   DET (6),9,14,6,7,12,6,9.0,8  -1
8,183,Tyler Loop   BAL (13),11,15,14,6,4,7,9.5,7  +1
9,214,Harrison Butker   KC (5),7,9,10,11,8,13,9.7,10  -1
10,218,Eddy Pineiro   SF (8),8,19,12,9,14,9,11.8,12  -2
11,228,Will Reichard   MIN (6),12,17,13,15,11,11,13.2,9  +2
12,265,Cairo Santos   CHI (10),14,21,11,13,15,21,15.8,15  -3
13,291,Evan McPherson   CIN (6),16,18,15,10,17,22,16.3,13
14,222,Chris Boswell   PIT (9),10,13,,16,5,18,12.4,11  +3
15,246,Wil Lutz   DEN (10),20,12,17,19,13,19,16.7,14  +1
16,253,Chase McLaughlin   TB (10),24,16,16,17,16,12,16.8,17  -1
17,292,Jake Elliott   PHI (10),15,5,,20,18,15,14.6,18  -1
18,310,Tyler Bass   BUF (7),19,11,,12,23,16,16.2,16  +2
19,302,Trey Smack   GB (11),13,8,,18,,14,13.3,21  -2
20,209,Andy Borregales   NE (11),,20,,14,10,10,13.5,19  +1
21,321,Nick Folk   ATL (11),,6,8,22,22,,14.5,20  +1
22,314,Blake Grupe   IND (13),,,7,29,,20,18.7,
23,318,Matt Gay   LV (13),17,,,33,19,,23.0,
24,305,Charlie Smyth   NO (8),,,,31,21,17,23.0,
25,327,Joey Slye   TEN (9),27,,,30,,23,26.7,
26,320,Riley Patterson   MIA (6),33,,,28,20,,27.0,
27,,Ben Sauls   NYG (8),22,,,24,,,23.0,
28,,Jason Sanders   NYJ (13),25,,,25,,,25.0,
29,,Drew Stevens   WAS (7),32,,,21,,,26.5,
30,,Chad Ryland   ARI (14),30,,,23,,,26.5,
31,,Justin Tucker,18,,,,,,18.0,
32,,Ryan Fitzgerald   CAR (5),23,,,32,,,27.5,
33,,Andre Szmyt   CLE (11),28,,,27,,,27.5,
34,,Younghoe Koo,21,,,,,,21.0,
35,,Jake Moody,34,,,26,,,30.0,
36,,Dominic Zvada   NYG (8),26,,,,,,26.0,
37,,Spencer Shrader   IND (13),29,,,34,,,31.5,
38,,Caden Davis,31,,,,,,31.0,
39,,Brandon McManus,35,,,,,,35.0,
40,,Zane Gonzalez,44,,,35,,,39.5,
41,,Matt Prater,36,,,,,,36.0,
42,,Cade York,38,,,36,,,37.0,
43,,Jude McAtamney,37,,,,,,37.0,
44,,Tanner Brown   NO (8),39,,,,,,39.0,
45,,Austin Seibert,40,,,,,,40.0,
46,,Daniel Carlson   NO (8),41,,,,,,41.0,
47,,Parker Romo,42,,,,,,42.0,
48,,Greg Joseph,43,,,,,,43.0,
49,,Dustin Hopkins,45,,,,,,45.0,
50,,Greg Zuerlein,46,,,,,,46.0,
51,,Joshua Karty,47,,,,,,47.0,
