OP,Overall,Player (Bye),Sleeper,FFPC,AVG,Real-Time
1,1,Jahmyr Gibbs   DET (6),1,1,1.0,2  -1
2,19,Josh Allen   BUF (7),3,2,2.5,1  +1
3,2,Bijan Robinson   ATL (11),2,3,2.5,3
4,3,Ja'Marr Chase   CIN (6),4,4,4.0,4
5,4,Puka Nacua   LAR (11),5,6,5.5,6  -1
6,37,Lamar Jackson   BAL (13),9,5,7.0,7  -1
7,7,Jaxon Smith-Njigba   SEA (11),6,9,7.5,12  -5
8,5,Christian McCaffrey   SF (8),7,8,7.5,8
9,52,Drake Maye   NE (11),11,7,9.0,23  -14
10,6,Jonathan Taylor   IND (13),8,11,9.5,5  +5
11,8,Amon-Ra St. Brown   DET (6),10,13,11.5,9  +2
12,9,James Cook III   BUF (7),12,15,13.5,10  +2
13,53,Joe Burrow   CIN (6),14,14,14.0,13
14,22,Brock Bowers   LV (13),21,10,15.5,26  -12
15,62,Jayden Daniels   WAS (7),19,12,15.5,24  -9
16,10,CeeDee Lamb   DAL (14),13,20,16.5,14  +2
17,17,Ashton Jeanty   LV (13),18,16,17.0,25  -8
18,13,Justin Jefferson   MIN (6),15,21,18.0,16  +2
19,25,Trey McBride   ARI (14),20,18,19.0,30  -11
20,12,De'Von Achane   MIA (6),16,26,21.0,22  -2
21,11,Saquon Barkley   PHI (10),17,25,21.0,11  +10
22,61,Jalen Hurts   PHI (10),28,17,22.5,20  +2
23,72,Caleb Williams   CHI (10),26,19,22.5,31  -8
24,15,Omarion Hampton   LAC (7),23,22,22.5,18  +6
25,14,Chase Brown   CIN (6),25,24,24.5,15  +10
26,16,Kenneth Walker III   KC (5),22,29,25.5,17  +9
27,78,Justin Herbert   LAC (7),32,23,27.5,33  -6
28,20,A.J. Brown   NE (11),24,35,29.5,19  +9
29,21,Drake London   ATL (11),27,33,30.0,27  +2
30,18,Derrick Henry   BAL (13),29,31,30.0,21  +9
31,79,Dak Prescott   DAL (14),35,27,31.0,36  -5
32,83,Trevor Lawrence   JAC (7),40,28,34.0,40  -8
33,23,Nico Collins   HOU (8),30,41,35.5,29  +4
34,95,Jaxson Dart   NYG (8),42,30,36.0,53  -19
35,28,Jeremiyah Love   ARI (14),33,39,36.0,37  -2
36,42,Colston Loveland   CHI (10),39,34,36.5,47  -11
37,24,George Pickens   DAL (14),31,44,37.5,28  +9
38,33,Rashee Rice   KC (5),37,42,39.5,38
39,107,Patrick Mahomes II   KC (5),44,36,40.0,54  -15
40,29,Malik Nabers   NYG (8),34,51,42.5,34  +6
41,100,Bo Nix   DEN (10),48,37,42.5,55  -14
42,27,Chris Olave   NO (8),36,50,43.0,35  +7
43,32,Breece Hall   NYJ (13),43,43,43.0,39  +4
44,109,Brock Purdy   SF (8),55,32,43.5,50  -6
45,26,Kyren Williams   LAR (11),38,49,43.5,32  +13
46,39,Josh Jacobs   GB (11),41,56,48.5,93  -47
47,102,Matthew Stafford   LAR (11),60,38,49.0,58  -11
48,51,Tyler Warren   IND (13),51,48,49.5,60  -12
49,30,Javonte Williams   DAL (14),47,53,50.0,44  +5
50,122,Jared Goff   DET (6),61,40,50.5,63  -13
51,31,DeVonta Smith   PHI (10),49,54,51.5,41  +10
52,38,Tee Higgins   CIN (6),46,63,54.5,42  +10
53,34,Zay Flowers   BAL (13),50,59,54.5,43  +10
54,36,Cam Skattebo   NYG (8),54,55,54.5,57  -3
55,41,Ladd McConkey   LAC (7),52,60,56.0,49  +6
56,40,Tetairoa McMillan   CAR (5),45,68,56.5,45  +11
57,35,Travis Etienne Jr.   NO (8),58,57,57.5,48  +9
58,43,Emeka Egbuka   TB (10),57,62,59.5,52  +6
59,132,Baker Mayfield   TB (10),73,47,60.0,80  -21
60,44,Garrett Wilson   NYJ (13),56,64,60.0,51  +9
61,134,Jordan Love   GB (11),72,52,62.0,75  -14
62,129,Kyler Murray   MIN (6),82,45,63.5,72  -10
63,48,Bucky Irving   TB (10),53,75,64.0,59  +4
64,46,Jaylen Waddle   DEN (10),59,71,65.0,46  +18
65,45,D'Andre Swift   CHI (10),63,67,65.0,56  +9
66,165,Tyler Shough   NO (8),87,46,66.5,89  -23
67,49,David Montgomery   HOU (8),65,70,67.5,61  +6
68,47,Quinshon Judkins   CLE (11),66,69,67.5,68
69,54,Luther Burden III   CHI (10),64,73,68.5,66  +3
70,59,TreVeyon Henderson   NE (11),67,77,72.0,79  -9
71,58,Davante Adams   LAR (11),62,84,73.0,64  +7
72,57,Bhayshul Tuten   JAC (7),74,72,73.0,69  +3
73,149,Sam Darnold   SEA (11),86,61,73.5,87  -14
74,55,Terry McLaurin   WAS (7),69,78,73.5,65  +9
75,64,Tucker Kraft   GB (11),75,76,75.5,73  +2
76,50,DJ Moore   BUF (7),70,82,76.0,62  +14
77,71,Sam LaPorta   DET (6),68,85,76.5,71  +6
78,68,Harold Fannin Jr.   CLE (11),76,79,77.5,81  -3
79,60,Jameson Williams   DET (6),71,86,78.5,70  +9
80,73,Kyle Pitts Sr.   ATL (11),78,80,79.0,86  -6
81,154,Malik Willis   MIA (6),104,58,81.0,103  -22
82,166,C.J. Stroud   HOU (8),99,65,82.0,100  -18
83,66,Mike Evans   SF (8),77,87,82.0,77  +6
84,56,Jadarian Price   SEA (11),83,83,83.0,67  +17
85,63,Rome Odunze   CHI (10),79,89,84.0,74  +11
86,65,Christian Watson   GB (11),80,88,84.0,78  +8
87,69,Jaylen Warren   PIT (9),84,90,87.0,84  +3
88,176,Daniel Jones   IND (13),110,66,88.0,109  -21
89,75,Carnell Tate   TEN (9),81,95,88.0,83  +6
90,178,Cam Ward   TEN (9),107,74,90.5,124  -34
91,67,Parker Washington   JAC (7),85,101,93.0,76  +15
92,70,Rhamondre Stevenson   NE (11),92,94,93.0,82  +10
93,74,Marvin Harrison Jr.   ARI (14),89,100,94.5,85  +8
94,89,George Kittle   SF (8),97,93,95.0,92  +2
95,80,Brian Thomas Jr.   JAC (7),90,102,96.0,88  +7
96,93,Travis Kelce   KC (5),95,98,96.5,99  -3
97,76,Tony Pollard   TEN (9),96,97,96.5,90  +7
98,84,RJ Harvey   DEN (10),88,107,97.5,104  -6
99,171,Bryce Young   CAR (5),121,81,101.0,126  -27
100,77,Rico Dowdle   PIT (9),100,103,101.5,95  +5
101,82,DK Metcalf   PIT (9),91,113,102.0,91  +10
102,98,Dalton Kincaid   BUF (7),93,111,102.0,101  +1
103,86,Chuba Hubbard   CAR (5),101,106,103.5,107  -4
104,88,Courtland Sutton   DEN (10),94,114,104.0,102  +2
105,99,Isaiah Likely   NYG (8),109,104,106.5,117  -12
106,158,Fernando Mendoza   LV (13),118,96,107.0,135  -29
107,117,Jake Ferguson   DAL (14),106,108,107.0,127  -20
108,81,Jonathon Brooks   CAR (5),111,105,108.0,94  +14
109,115,Jordyn Tyson   NO (8),108,112,110.0,132  -23
