"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Josh Allen",BUF,"374.6","3668","25","0","0","0","112","579","14"
"2",1,"Lamar Jackson",BAL,"221.9","2549","21","0","0","0","67","349","2"
"3",1,"Drake Maye",NE,"359.5","4394","31","1","2","0","103","450","4"
"4",1,"Joe Burrow",CIN,"139.5","1809","17","0","0","0","14","41","0"
"5",1,"Jayden Daniels",WAS,"117.3","1262","8","0","0","0","58","278","2"
"6",1,"Jalen Hurts",PHI,"305.1","3224","25","0","0","0","105","421","8"
"7",1,"Jahmyr Gibbs",DET,"328.4","0","0","77","616","5","243","1223","13"
"8",2,"Ja'Marr Chase",CIN,"251.1","0","0","125","1412","8","3","14","0"
"9",2,"Bijan Robinson",ATL,"331.3","0","0","79","820","4","287","1478","7"
"10",2,"Caleb Williams",CHI,"324.2","3942","27","2","22","1","77","383","3"
"11",2,"Justin Herbert",LAC,"299.9","3727","26","0","0","0","83","498","2"
"12",2,"Puka Nacua",LAR,"310.5","0","0","129","1715","10","10","105","1"
"13",2,"Jaxon Smith-Njigba",SEA,"300.4","0","0","119","1793","10","7","36","0"
"14",2,"Trevor Lawrence",JAC,"350.2","4007","29","0","0","0","82","359","9"
"15",2,"Dak Prescott",DAL,"323.8","4552","30","0","0","0","53","177","2"
"16",2,"Amon-Ra St. Brown",DET,"265.5","0","0","117","1401","11","3","9","0"
"17",2,"Christian McCaffrey",SF,"365.6","0","0","102","924","7","311","1202","10"
"18",2,"Jonathan Taylor",IND,"339.3","0","0","46","378","2","323","1585","18"
"19",3,"CeeDee Lamb",DAL,"163.4","0","0","75","1077","3","1","2","0"
"20",3,"Brock Purdy",SF,"187.4","2167","20","0","0","0","33","147","3"
"21",3,"James Cook III",BUF,"285.7","0","0","33","291","2","309","1621","12"
"22",3,"Justin Jefferson",MIN,"159.5","0","0","84","1048","2","2","7","0"
"23",3,"Jaxson Dart",NYG,"246.6","2272","15","0","0","0","86","487","9"
"24",3,"Bo Nix",DEN,"315.8","3931","25","0","0","0","83","356","5"
"25",3,"Patrick Mahomes II",KC,"296.2","3587","22","1","-10","0","64","422","5"
"26",3,"Chase Brown",CIN,"248.1","0","0","69","437","5","232","1019","6"
"",3
"27",3,"Drake London",ATL,"167.9","0","0","68","919","7","0","0","0"
"28",3,"A.J. Brown",NE,"181.3","0","0","78","1003","7","0","0","0"
"29",3,"Matthew Stafford",LAR,"358.4","4707","46","0","0","0","29","1","0"
"30",3,"Saquon Barkley",PHI,"213.8","0","0","37","273","2","280","1140","7"
"31",3,"Jared Goff",DET,"305.1","4564","34","0","0","0","19","45","0"
"32",3,"De'Von Achane",MIA,"289.3","0","0","67","488","4","238","1350","8"
"33",3,"Nico Collins",HOU,"190.7","0","0","71","1117","6","2","15","1"
"34",3,"Brock Bowers",LV,"144.2","0","0","64","680","7","2","2","0"
"35",3,"Omarion Hampton",LAC,"119.7","0","0","32","192","1","124","545","4"
"36",4,"Derrick Henry",BAL,"272","0","0","15","150","0","307","1595","16"
"37",4,"Kenneth Walker III",KC,"176.4","0","0","31","282","0","221","1027","5"
"38",4,"Kyler Murray",MIN,"80.8","962","6","0","0","0","29","173","1"
"39",4,"George Pickens",DAL,"245.4","0","0","93","1429","9","0","0","0"
"40",4,"Chris Olave",NO,"219","0","0","100","1163","9","1","-3","0"
"41",4,"Trey McBride",ARI,"252.9","0","0","126","1239","11","0","0","0"
"42",4,"Ashton Jeanty",LV,"217.6","0","0","55","346","5","266","975","5"
"43",4,"Malik Nabers",NYG,"48.1","0","0","18","271","2","0","0","0"
"44",4,"Baker Mayfield",TB,"282.9","3693","26","0","0","0","55","382","1"
"45",4,"Rashee Rice",KC,"123.6","0","0","53","571","5","5","20","1"
"46",4,"Jordan Love",GB,"241.1","3381","23","0","0","0","47","199","0"
"47",4,"DeVonta Smith",PHI,"163.3","0","0","77","1008","4","0","0","0"
"48",4,"Tyler Shough",NO,"164","2384","10","0","0","0","45","186","3"
"49",4,"Zay Flowers",BAL,"200.3","0","0","86","1211","5","10","62","1"
"50",4,"Kyren Williams",LAR,"245.3","0","0","36","281","3","259","1252","10"
"51",4,"Tee Higgins",CIN,"182.1","0","0","59","846","11","0","0","0"
"52",4,"Malik Willis",MIA,"51.2","422","3","0","0","0","22","123","2"
"53",4,"Javonte Williams",DAL,"225.3","0","0","35","137","2","252","1201","11"
"54",4,"Tetairoa McMillan",CAR,"176.4","0","0","70","1014","7","0","0","0"
"55",4,"Breece Hall",NYJ,"189.7","4","1","36","350","1","243","1065","4"
"56",5,"Garrett Wilson",NYJ,"81.5","0","0","36","395","4","0","0","0"
"57",5,"Josh Jacobs",GB,"219.1","0","0","36","282","1","234","929","13"
"58",5,"Ladd McConkey",LAC,"147.9","0","0","66","789","6","0","0","0"
"59",5,"Jaylen Waddle",DEN,"162.1","8","0","64","910","6","2","28","0"
"60",5,"Emeka Egbuka",TB,"164.2","0","0","63","938","6","2","9","0"
"61",5,"Jeremiyah Love",ARI,"0","0","0","0","0","0","0","0","0"
"62",5,"Colston Loveland",CHI,"136.1","0","0","58","713","6","1","-2","0"
"63",5,"C.J. Stroud",HOU,"216.5","3041","19","0","0","0","48","209","1"
"64",5,"Travis Etienne Jr.",NO,"235.9","0","0","36","292","6","260","1107","7"
"65",5,"Terry McLaurin",WAS,"95.2","0","0","38","582","3","0","0","0"
"66",5,"Sam Darnold",SEA,"249.4","4048","25","0","0","0","35","95","0"
"67",5,"Davante Adams",LAR,"192.9","0","0","60","789","14","0","0","0"
"68",5,"Cam Ward",TEN,"193.7","3169","15","0","0","0","39","159","2"
"69",5,"D'Andre Swift",CHI,"211.6","0","0","34","299","1","223","1087","9"
"70",5,"Luther Burden III",CHI,"104.4","0","0","47","652","2","6","37","0"
"71",5,"Daniel Jones",IND,"234.4","3101","19","0","0","0","45","164","5"
"72",5,"Cam Skattebo",NYG,"115.7","0","0","24","207","2","101","410","5"
"73",5,"Tyler Warren",IND,"150.5","0","0","76","817","4","6","8","1"
"74",5,"Jameson Williams",DET,"187.4","0","0","65","1117","7","6","12","0"
"75",5,"Bucky Irving",TB,"123.5","0","0","30","277","3","173","588","1"
"76",5,"Quinshon Judkins",CLE,"156.8","0","0","26","171","0","230","827","7"
"77",5,"DJ Moore",BUF,"145.2","2","1","50","682","6","15","79","1"
"78",5,"David Montgomery",HOU,"154.9","3","1","24","192","0","158","716","8"
"79",5,"Mike Evans",SF,"69.8","0","0","30","368","3","0","0","0"
"80",5,"Christian Watson",GB,"114.9","0","0","35","611","6","1","3","0"
"81",5,"Rome Odunze",CHI,"124.1","0","0","44","661","6","0","0","0"
"82",5,"Bhayshul Tuten",JAC,"83.6","0","0","10","79","2","83","307","5"
"83",6,"TreVeyon Henderson",NE,"188.7","0","0","35","221","1","180","911","9"
"84",6,"Bryce Young",CAR,"229","3011","23","0","0","0","54","216","2"
"85",6,"Jadarian Price",SEA,"0","0","0","0","0","0","0","0","0"
"86",6,"Parker Washington",JAC,"155.7","0","0","58","847","5","7","0","0"
"87",6,"Tucker Kraft",GB,"101.2","0","0","32","489","6","1","3","0"
"88",6,"Carnell Tate",TEN,"0","0","0","0","0","0","0","0","0"
"89",6,"Marvin Harrison Jr.",ARI,"107.3","0","0","41","608","4","0","0","0"
"90",6,"Jacoby Brissett",ARI,"235.4","3366","23","0","0","0","38","168","1"
"",6
"91",6,"Jaylen Warren",PIT,"197.1","0","0","40","333","2","211","958","6"
"92",6,"Rhamondre Stevenson",NE,"162.8","0","0","32","345","2","130","603","7"
"93",6,"Brian Thomas Jr.",JAC,"114.8","0","0","48","707","2","3","21","1"
"94",6,"Tony Pollard",TEN,"169.3","0","0","33","206","0","242","1082","5"
"95",6,"DK Metcalf",PIT,"157.7","0","0","59","850","6","2","12","1"
"96",6,"Harold Fannin Jr.",CLE,"150.4","0","0","72","731","6","7","13","1"
"97",6,"Sam LaPorta",DET,"86.9","0","0","40","489","3","0","0","0"
"98",6,"Rico Dowdle",PIT,"196.8","0","0","39","297","1","236","1076","6"
"99",6,"Chris Godwin Jr.",TB,"66.5","0","0","33","360","2","0","0","0"
"100",6,"Courtland Sutton",DEN,"182.7","0","0","74","1017","7","0","0","0"
"101",6,"Kyle Pitts Sr.",ATL,"166.8","0","0","88","928","5","0","0","0"
"102",6,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0","0"
"103",6,"J.K. Dobbins",DEN,"110.4","0","0","11","37","0","153","772","4"
"104",6,"Michael Pittman Jr.",PIT,"162.4","0","0","80","784","7","0","0","0"
"105",6,"Michael Wilson",ARI,"181.6","0","0","78","1006","7","0","0","0"
"106",6,"Quentin Johnston",LAC,"145.7","0","0","51","735","8","2","7","0"
"107",6,"Alec Pierce",IND,"159.8","0","0","47","1003","6","0","0","0"
