"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","+2"
"2",1,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+6"
"3",1,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+6"
"4",1,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"5",1,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"6",1,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+17"
"7",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-6"
"8",2,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","-4"
"9",2,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-7"
"10",2,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+11"
"11",2,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+16"
"12",2,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","-7"
"13",2,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","-7"
"14",2,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+19"
"15",2,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","+16"
"16",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","-5"
"17",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-10"
"18",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"19",3,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","-2"
"20",3,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+22"
"21",3,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-9"
"22",3,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","-4"
"23",3,"Jaxson Dart",NYG,"QB12","8","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"24",3,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+17"
"25",3,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+13"
"26",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","0"
"",3
"27",3,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"28",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+2"
"29",3,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","+20"
"30",3,"Saquon Barkley",PHI,"RB7","10","4 out of 5","3 out of 5","4 out of 5 stars","-6"
"31",3,"Jared Goff",DET,"QB16","6","3 out of 5","2 out of 5","5 out of 5 stars","+17"
"32",3,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","3 out of 5 stars","-12"
"33",3,"Nico Collins",HOU,"WR9","8","4 out of 5","2 out of 5","3 out of 5 stars","+1"
"34",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","-19"
"35",3,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-13"
"36",4,"Derrick Henry",BAL,"RB10","13","4 out of 5","2 out of 5","3 out of 5 stars","-7"
"37",4,"Kenneth Walker III",KC,"RB11","5","5 out of 5","3 out of 5","3 out of 5 stars","-12"
"38",4,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+25"
"39",4,"George Pickens",DAL,"WR10","14","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"40",4,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"41",4,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","-22"
"42",4,"Ashton Jeanty",LV,"RB12","13","4 out of 5","4 out of 5","2 out of 5 stars","-26"
"43",4,"Malik Nabers",NYG,"WR12","8","4 out of 5","4 out of 5","4 out of 5 stars","0"
"44",4,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+17"
"45",4,"Rashee Rice",KC,"WR13","5","4 out of 5","4 out of 5","2 out of 5 stars","-6"
"46",4,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+14"
"47",4,"DeVonta Smith",PHI,"WR14","10","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"48",4,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+16"
"49",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"50",4,"Kyren Williams",LAR,"RB13","11","4 out of 5","2 out of 5","5 out of 5 stars","-5"
"51",4,"Tee Higgins",CIN,"WR16","6","5 out of 5","2 out of 5","4 out of 5 stars","+1"
"52",4,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+31"
"53",4,"Javonte Williams",DAL,"RB14","14","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"54",4,"Tetairoa McMillan",CAR,"WR17","5","4 out of 5","3 out of 5","2 out of 5 stars","0"
