Player,,Rank,TA Tier,Position,,
Josh Allen,113.45,QB 1,1,QB,,
Drake Maye,77.93,QB 2,1,QB,,
Lamar Jackson,67.86,QB 3,1,QB,,
Joe Burrow,51.94,QB 4,2,QB,,
Jalen Hurts,38.25,QB 5,2,QB,,
Jayden Daniels,29.63,QB 6,2,QB,,
Brock Purdy,25.92,QB 7,3,QB,,
Dak Prescott,21.39,QB 8,3,QB,,
Caleb Williams,18.84,QB 9,3,QB,,
Jaxson Dart,17.84,QB 10,3,QB,,
Trevor Lawrence,17.55,QB 11,3,QB,,
Patrick Mahomes,16.01,QB 12,3,QB,,
Bo Nix,7.18,QB 13,3,QB,,
Jared Goff,5.76,QB 14,3,QB,,
Matthew Stafford,4.25,QB 15,3,QB,,
Justin Herbert,2.07,QB 16,3,QB,,
Kyler Murray,-8.89,QB 17,4,QB,,
Baker Mayfield,-15.35,QB 18,4,QB,,
Malik Willis,-21.39,QB 19,4,QB,,
Jordan Love,-26.09,QB 20,4,QB,,
Tyler Shough,-37.04,QB 21,4,QB,,
C.J. Stroud,-37.74,QB 22,4,QB,,
Daniel Jones,-44.02,QB 23,4,QB,,
Sam Darnold,-46.45,QB 24,4,QB,,
Jahmyr Gibbs,174.18,RB 1,1,RB,,
Bijan Robinson,173.18,RB 2,1,RB,,
Christian McCaffrey,159.11,RB 3,2,RB,,
Jonathan Taylor,145.13,RB 4,2,RB,,
James Cook,115.21,RB 5,2,RB,,
De'Von Achane,114.35,RB 6,2,RB,,
Chase Brown,113.80,RB 7,2,RB,,
Derrick Henry,107.51,RB 8,2,RB,,
Saquon Barkley,102.09,RB 9,3,RB,,
Omarion Hampton,101.32,RB 10,3,RB,,
Ashton Jeanty,101.31,RB 11,3,RB,,
Kenneth Walker,98.57,RB 12,3,RB,,
Javonte Williams,96.59,RB 13,3,RB,,
Cam Skattebo,93.88,RB 14,3,RB,,
Kyren Williams,92.68,RB 15,3,RB,,
Breece Hall,90.61,RB 16,3,RB,,
Josh Jacobs,90.09,RB 17,3,RB,,
Jeremiyah Love,86.63,RB 18,3,RB,,
Travis Etienne,80.22,RB 19,4,RB,,
David Montgomery,75.61,RB 20,4,RB,,
TreVeyon Henderson,67.39,RB 21,4,RB,,
Rhamondre Stevenson,66.10,RB 22,4,RB,,
Quinshon Judkins,66.05,RB 23,4,RB,,
Jadarian Price,61.93,RB 24,4,RB,,
Kenneth Gainwell,60.32,RB 25,4,RB,,
Tony Pollard,59.76,RB 26,4,RB,,
D'Andre Swift,58.86,RB 27,4,RB,,
