"Team","Rank","QB","Rank","RB","Rank","WR","Rank","TE","Rank","K","Rank","DST"
"Arizona Cardinals","4","19.3","12","21.2","7","29.5","12","9.1","14","9.6","17","6.0"
"Atlanta Falcons","11","17.3","27","16.9","11","28.3","15","8.8","1","12.9","19","5.7"
"Baltimore Ravens","3","21.7","20","19.2","2","35.8","7","10.9","10","9.7","32","1.4"
"Buffalo Bills","23","15.1","2","26.3","25","22.7","18","8.2","26","7.1","30","2.9"
"Carolina Panthers","6","19.0","1","30.2","12","28.0","5","11.7","3","11.7","8","8.6"
"Chicago Bears","31","10.3","19","19.3","27","21.9","23","7.3","19","8.7","15","6.2"
"Cincinnati Bengals","5","19.1","18","19.7","17","25.5","3","12.0","27","7.1","26","5.0"
"Cleveland Browns","21","15.2","25","17.1","5","31.1","29","5.1","16","9.1","3","11.3"
"Dallas Cowboys","7","19.0","4","25.8","15","26.5","20","8.0","6","10.5","11","7.7"
"Denver Broncos","30","12.8","22","18.8","31","18.7","14","8.9","25","7.3","18","5.9"
"Detroit Lions","17","16.2","30","15.5","3","33.9","28","5.4","12","9.7","28","4.2"
"Green Bay Packers","27","14.2","16","20.2","21","24.8","10","10.0","29","6.3","24","5.3"
"Houston Texans","8","18.5","29","16.2","10","28.7","26","6.1","21","7.9","25","5.3"
"Indianapolis Colts","10","18.0","13","21.0","16","25.8","4","11.9","13","9.6","27","4.7"
"Jacksonville Jaguars","1","23.7","7","23.2","4","33.5","6","11.2","18","8.7","21","5.6"
"Kansas City Chiefs","13","16.9","32","12.2","29","21.3","1","13.9","23","7.7","23","5.3"
"Las Vegas Raiders","14","16.8","8","23.2","24","23.1","25","6.7","4","10.9","2","11.9"
"Los Angeles Chargers","22","15.2","31","15.2","30","20.6","17","8.7","30","5.0","22","5.3"
"Los Angeles Rams","18","16.0","9","23.2","18","25.2","2","13.5","11","9.7","9","8.3"
"Miami Dolphins","32","9.0","6","24.5","32","18.3","30","4.7","7","10.5","4","10.8"
"Minnesota Vikings","12","16.9","24","17.2","1","36.0","13","9.1","32","5.0","14","6.3"
"New England Patriots","25","14.9","3","25.9","13","28.0","22","7.4","15","9.6","5","10.4"
"New Orleans Saints","24","14.9","5","24.6","14","28.0","16","8.7","2","12.0","7","9.7"
"New York Giants","9","18.2","17","19.8","19","25.1","27","5.5","20","8.1","6","10.0"
"New York Jets","29","13.0","23","18.0","26","22.1","24","6.8","5","10.9","12","7.3"
"Philadelphia Eagles","26","14.8","28","16.9","9","29.1","32","4.1","17","8.8","10","7.7"
"Pittsburgh Steelers","28","13.5","26","17.1","23","24.0","11","9.5","31","5.0","29","3.9"
"San Francisco 49ers","19","15.9","14","20.4","22","24.7","19","8.1","24","7.6","16","6.0"
"Seattle Seahawks","15","16.3","10","23.0","20","24.8","8","10.4","22","7.7","13","7.3"
"Tampa Bay Buccaneers","2","22.7","11","22.4","6","30.3","9","10.1","8","10.0","20","5.7"
"Tennessee Titans","20","15.9","21","18.9","28","21.5","31","4.5","9","9.8","1","12.0"
"Washington Commanders","16","16.2","15","20.3","8","29.2","21","7.7","28","7.0","31","2.1"
""
""
